#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
14.9%	7450	14.900000000001645	-984.8558587074307	335.67022705078125	-649.1856316566494	104.32002254554016	131	9.724493503570557	0:55
15.0%	7500	15.000000000001679	-972.9466179847744	335.2741394042969	-637.6724785804776	104.19692592009827	131	9.790899991989136	0:55
15.1%	7550	15.100000000001712	-991.8900994300869	327.5061340332031	-664.3839653968838	101.78277527419132	131	9.856874465942383	0:55
15.2%	7600	15.200000000001745	-990.7209710121182	325.40753173828125	-665.3134392738369	101.13056896848505	131	9.92272138595581	0:55
15.3%	7650	15.300000000001779	-984.8681267738369	297.09783935546875	-687.7702874183682	92.33244655655746	131	9.98858904838562	0:55
15.4%	7700	15.400000000001812	-986.9134758949307	335.8536682128906	-651.0598076820401	104.3770326245548	131	10.054023027420044	0:55
15.5%	7750	15.500000000001846	-991.9960564613369	281.1102294921875	-710.8858269691494	87.36379671221339	131	10.119665384292603	0:55
15.6%	7800	15.600000000001879	-985.6427849769619	326.10809326171875	-659.5346917152432	101.34829037488338	131	10.185261487960815	0:55
15.7%	7850	15.700000000001912	-979.9416741371182	309.51177978515625	-670.4298943519619	96.19046684296217	131	10.250879526138306	0:55
15.8%	7900	15.800000000001946	-976.5534905433682	342.91790771484375	-633.6355828285244	106.57246601340688	131	10.316488027572632	0:55
15.9%	7950	15.90000000000198	-978.9366082191494	309.9447021484375	-668.9919060707119	96.32501100880842	131	10.382498979568481	0:55
16.0%	8000	16.00000000000201	-989.3597039222744	309.2982482910156	-680.0614556312588	96.12410525206789	131	10.448055267333984	0:55
16.1%	8050	16.100000000001955	-993.0426262855557	352.3907165527344	-640.6519097328213	109.51643766147575	131	10.513549327850342	0:55
16.2%	8100	16.2000000000019	-983.2139519691494	305.6617431640625	-677.5522088050869	94.99394753696815	131	10.580018997192383	0:55
16.3%	8150	16.300000000001845	-978.8217400550869	335.6974792480469	-643.1242608070401	104.32849201826683	131	10.646485090255737	0:55
16.4%	8200	16.40000000000179	-988.4441765785244	317.73223876953125	-670.7119378089932	98.74523160157436	131	10.712093591690063	0:54
16.5%	8250	16.500000000001734	-982.0328606605557	334.35699462890625	-647.6758660316494	103.91189449360895	131	10.777807235717773	0:54
16.6%	8300	16.60000000000168	-977.1189812660244	310.9432373046875	-666.1757439613369	96.63533704197417	131	10.84337067604065	0:54
16.7%	8350	16.700000000001623	-977.2708367347744	322.74200439453125	-654.5288323402432	100.3021729709047	131	10.90897536277771	0:54
16.8%	8400	16.800000000001567	-989.4446648597744	321.3775634765625	-668.0671013832119	99.87813027705262	131	10.974535942077637	0:54
16.9%	8450	16.900000000001512	-986.8783806800869	320.5924377441406	-666.2859429359463	99.63412789761327	131	11.040196895599365	0:54
17.0%	8500	17.000000000001457	-987.9577263832119	312.4163818359375	-675.5413445472744	97.09316278381331	131	11.106114387512207	0:54
17.1%	8550	17.1000000000014	-987.3639763832119	319.5549621582031	-667.8090142250088	99.31169990789742	131	11.172192811965942	0:54
17.2%	8600	17.200000000001346	-987.8019036293057	329.07208251953125	-658.7298211097744	102.26944274790263	131	11.237881660461426	0:54
17.3%	8650	17.30000000000129	-991.7454461097744	299.58294677734375	-692.1624993324307	93.1047714200279	131	11.30392074584961	0:54
17.4%	8700	17.400000000001235	-971.0196160316494	327.5077819824219	-643.5118340492276	101.78328742595754	131	11.370174646377563	0:54
17.5%	8750	17.50000000000118	-983.8836297035244	292.9372863769531	-690.9463433265713	91.0394245797975	131	11.435764074325562	0:54
17.6%	8800	17.600000000001124	-987.3754509925869	337.3879089355469	-649.9875420570401	104.85384591891223	131	11.50128960609436	0:54
17.7%	8850	17.70000000000107	-975.1675652503994	327.09246826171875	-648.0750969886807	101.65421569657636	131	11.566990613937378	0:54
17.8%	8900	17.800000000001013	-965.2787713050869	318.9689636230469	-646.3098076820401	99.12958253354385	131	11.633156538009644	0:54
17.9%	8950	17.900000000000958	-966.8713006019619	342.2603759765625	-624.6109246253994	106.36811745868226	131	11.698681831359863	0:53
18.0%	9000	18.000000000000902	-981.6805047035244	303.54168701171875	-678.1388176918057	94.33507377400896	131	11.764466524124146	0:53
18.1%	9050	18.100000000000847	-985.3786248207119	341.44769287109375	-643.9309319496182	106.11555076359659	131	11.830238342285156	0:53
18.2%	9100	18.20000000000079	-994.5844353675869	314.91461181640625	-679.6698235511807	97.86956589282964	131	11.89613962173462	0:53
18.3%	9150	18.300000000000736	-985.2548455238369	322.85809326171875	-662.3967522621182	100.3382512175478	131	11.96181607246399	0:53
18.4%	9200	18.40000000000068	-983.5840081214932	323.0957336425781	-660.4882744789151	100.41210539909615	131	12.027770280838013	0:53
18.5%	9250	18.500000000000625	-992.9837883949307	317.8354187011719	-675.1483696937588	98.77729799271536	131	12.09347414970398	0:53
